ID,date tested,subcaste,focal colony,treatment,stimulus colony,avoid,no response,antennation,flared,raised gaster,lunge,bite,non agg freq,agg freq,movement line crosses,agg metric
EPN20,8_10_14,major,JC_D14,epinastine,JC_E14,0,0,17,13,0,7,0,0,20,20,2.918918919
EPN21,8_10_14,major,JC_D14,epinastine,JC_E14,1,0,4,3,1,4,0,1,8,28,3.230769231
EPN22,8_10_14,major,JC_D14,epinastine,JC_E14,2,0,16,4,2,2,0,2,8,32,2.461538462
EPN23,8_10_14,major,JC_D14,epinastine,JC_E14,2,0,7,4,2,0,0,2,6,46,2.4
EPN24,8_10_14,major,JC_D14,epinastine,JC_E14,0,0,9,0,0,0,0,0,0,48,2
EPN25,8_10_14,major,JC_D14,epinastine,JC_E14,1,0,3,1,0,1,0,1,2,11,2.5
EPN27,8_11_14,major,JC_E14,epinastine,JC_4,0,0,4,0,0,0,0,0,0,2,2
EPN28,8_11_14,major,JC_E14,epinastine,JC_4,0,0,9,0,0,0,0,0,0,26,2
EPN29,8_11_14,major,JC_E14,epinastine,JC_4,0,0,3,2,0,0,0,0,2,9,2.4
EPN30,8_11_14,major,JC_E14,epinastine,JC_4,6,0,13,5,0,2,0,6,7,38,2.192307692
EPN31,8_11_14,major,JC_E14,epinastine,JC_4,0,1,8,0,0,0,0,1,0,20,1.888888889
EPN32,8_11_14,major,JC_E14,epinastine,JC_4,0,0,7,8,0,1,0,0,9,43,2.6875
EPN33,8_11_14,major,JC_E14,epinastine,JC_4,0,0,1,0,0,0,1,0,1,8,4
CONT10,8_12_14,major,JC_D14,control,JC_E14,0,0,8,5,0,0,0,0,5,20,2.384615385
CONT11,8_12_14,major,JC_D14,control,JC_E14,0,0,8,6,1,1,0,0,8,35,2.6875
CONT12,8_12_14,major,JC_D14,control,JC_E14,0,0,8,6,0,8,0,0,14,75,3.363636364
CONT15,8_12_14,major,JC_D14,control,JC_E14,1,1,8,3,1,1,0,2,5,7,2.4
CONT16,8_12_14,major,JC_D14,control,JC_E14,1,1,7,4,2,5,0,2,11,19,3.05
CONT17,8_14_14,major,JC_E14,control,JC_4,0,0,5,2,0,0,0,0,2,0,2.285714286
CONT18,8_14_14,major,JC_E14,control,JC_4,0,0,2,3,0,1,0,0,4,3,3
CONT19,8_14_14,major,JC_E14,control,JC_4,0,1,6,10,1,74,0,1,85,24,4.532608696
CONT20,8_14_14,major,JC_E14,control,JC_4,0,0,6,2,0,1,0,0,3,14,2.555555556
CONT21,8_14_14,major,JC_E14,control,JC_4,0,0,10,5,0,0,0,0,5,56,2.333333333
CONT22,8_14_14,major,JC_E14,control,JC_4,0,0,1,1,0,1,1,0,3,21,4
CONT23,8_14_14,major,JC_E14,control,JC_4,0,1,6,1,0,0,0,1,1,3,2
EPN35,8_21_14,major,JC_D14,epinastine,JC_F14,0,0,5,1,0,30,0,0,31,6,4.527777778
EPN36,8_21_14,major,JC_D14,epinastine,JC_F14,0,0,7,5,0,0,0,0,5,19,2.416666667
EPN37,8_21_14,major,JC_D14,epinastine,JC_F14,1,0,3,1,0,0,0,1,1,36,2
EPN38,8_21_14,major,JC_D14,epinastine,JC_F14,0,0,7,2,0,6,0,0,8,2,3.333333333
CONT25,8_22_14,major,JC_D14,control,JC_F14,0,0,6,1,0,8,0,0,9,1,3.666666667
CONT26,8_22_14,major,JC_D14,control,JC_F14,0,0,3,1,0,1,0,0,2,1,2.8
CONT27,8_22_14,major,JC_D14,control,JC_F14,0,0,1,1,0,0,0,0,1,2,2.5
CONT29,8_22_14,major,JC_D14,control,JC_F14,1,0,7,2,0,29,0,1,31,0,4.256410256
CONT30,8_22_14,major,JC_D14,control,JC_F14,5,0,10,7,3,15,0,5,25,1,3.325
CONT31,8_22_14,major,JC_D14,control,JC_F14,0,0,5,2,0,7,0,0,9,12,3.642857143
CONT32,8_22_14,major,JC_D14,control,JC_F14,1,0,8,0,0,5,0,1,5,1,3
CONT33,8_22_14,major,JC_D14,control,JC_F14,1,0,11,4,1,21,0,1,26,27,3.789473684