ID,date tested,subcaste,focal colony,stimulus colony,avoid,no response,antennation,flared,raised gaster,lunge,bite,non agg freq,agg freq,agg metric
maj1,5_30_13,major,JC_B13,JC_D13,0,0,6,1,0,2,1,0,4,3.1
maj2,5_30_13,major,JC_B13,JC_D13,0,0,8,1,0,1,0,0,2,2.4
maj3,5_30_13,major,JC_B13,JC_D13,20,0,18,0,0,0,0,20,0,1.473684211
maj4,5_30_13,major,JC_B13,JC_D13,0,0,0,0,0,0,1,0,1,6
min1,5_30_13,minor,JC_B13,JC_D13,1,0,1,0,0,0,0,1,0,1.5
min2,5_30_13,minor,JC_B13,JC_D13,6,0,26,0,0,0,0,6,0,1.8125
min3,5_31_13,minor,JC_B13,JC_D13,3,0,12,0,0,0,1,3,1,2.0625
min4,5_31_13,minor,JC_B13,JC_D13,0,0,2,0,0,3,1,0,4,4.166666667
min5,5_31_13,minor,JC_B13,JC_D13,2,0,1,0,0,0,0,2,0,1.333333333
min6,5_31_13,minor,JC_B13,JC_D13,3,0,26,0,0,2,0,3,2,2.096774194
min7,5_31_13,minor,JC_B13,JC_D13,0,0,18,0,0,0,0,0,0,2
min8,5_31_13,minor,JC_B13,JC_D13,2,0,8,3,1,0,0,2,4,2.214285714
maj5,5_31_13,major,JC_B13,JC_D13,20,0,6,1,0,0,0,20,1,1.296296296
maj6,5_31_13,major,JC_B13,JC_D13,1,0,3,3,1,1,0,1,5,2.777777778
maj7,5_31_13,major,JC_B13,JC_D13,5,0,21,1,1,8,0,5,10,2.611111111
maj8,5_31_13,major,JC_B13,JC_D13,8,0,20,1,0,2,0,8,3,1.967741936
maj9,8_6_13,major,JC_G13,JC_I13,0,0,3,3,0,0,0,0,3,2.5
maj10,8_6_13,major,JC_G13,JC_I13,0,0,5,1,0,0,0,0,1,2.166666667
maj11,8_6_13,major,JC_G13,JC_I13,0,0,4,2,0,0,0,0,2,2.333333333
maj12,8_6_13,major,JC_G13,JC_I13,0,0,7,4,1,4,0,0,9,3.125
maj13,8_6_13,major,JC_G13,JC_I13,0,0,5,0,0,1,0,0,1,2.5
maj14,8_6_13,major,JC_G13,JC_I13,0,0,4,2,0,0,0,0,2,2.333333333
maj15,8_6_13,major,JC_G13,JC_I13,0,0,3,1,0,0,0,0,1,2.25
maj16,8_6_13,major,JC_G13,JC_I13,0,0,8,2,0,0,0,0,2,2.2
maj17,8_6_13,major,JC_G13,JC_I13,0,0,2,1,0,0,0,0,1,2.333333333
maj18,8_6_13,major,JC_G13,JC_I13,0,0,6,1,0,0,0,0,1,2.142857143
maj19,8_6_13,major,JC_G13,JC_I13,0,0,8,0,1,1,0,0,2,2.5
maj20,8_6_13,major,JC_G13,JC_I13,0,0,7,3,3,5,0,0,11,3.333333333
min9,8_6_13,minor,JC_G13,JC_I13,1,0,3,0,0,0,0,1,0,1.75
min10,8_6_13,minor,JC_G13,JC_I13,0,0,1,0,0,0,0,0,0,2
min11,8_6_13,minor,JC_G13,JC_I13,0,0,1,0,0,0,0,0,0,2
min12,8_6_13,minor,JC_G13,JC_I13,0,0,5,2,1,6,0,0,9,3.571428571
min13,8_6_13,minor,JC_G13,JC_I13,0,0,1,0,0,0,0,0,0,2
min14,8_6_13,minor,JC_G13,JC_I13,0,0,7,0,0,0,0,0,0,2
min15,8_6_13,minor,JC_G13,JC_I13,0,0,3,0,0,1,0,0,1,2.75
min16,8_6_13,minor,JC_G13,JC_I13,3,0,6,1,1,1,0,3,3,2.25
min17,8_6_13,minor,JC_G13,JC_I13,0,0,2,0,0,0,0,0,0,2
min18,8_6_13,minor,JC_G13,JC_I13,0,0,3,0,0,0,0,0,0,2
min19,8_6_13,minor,JC_G13,JC_I13,0,0,3,0,0,0,0,0,0,2
min20,8_6_13,minor,JC_G13,JC_I13,0,0,7,1,0,0,0,0,1,2.125