ID,date tested,subcaste,focal colony,treatment,time tested,time dissected,stimulus colony,raw headwidth,headwidth (mm),estimated brain mass,DA raw,DA corrected,DA/brain mass,5-HT raw,5-HT corrected,5-HT/brain mass,OA raw,OA corrected,OA/brain mass,OA/brain mass without excluded,avoid,no response,antennation,flared,raised gaster,lunge,bite,non agg freq,agg freq,agg metric,movement line crosses
CNT1,10_15_14,minor,OS_B,control,15,60,OS_H,16.5,0.99,44.437,104.837,288.30175,6.487876094,63.352,174.218,3.920561694,37.477,103.06175,2.319277854,2.319277854,0,0,2,2,0,0,0,0,2,2.5,0
CNT2,10_15_14,minor,OS_B,control,15,60,OS_H,17,1.02,45.376,154.85,425.8375,9.384641661,77.44,212.96,4.693229901,56.37,155.0175,3.416288346,3.416288346,0,0,15,8,0,13,0,0,21,3.305555556,18
CNT3,10_15_14,minor,OS_B,control,25,49,OS_H,16.5,0.99,44.437,138.179,379.99225,8.551257961,227.184,624.756,14.05936494,52.684,144.881,3.260368612,3.260368612,1,0,16,5,0,1,0,1,6,2.304347826,26
CNT4,10_15_14,minor,OS_B,control,20,46,OS_H,17,1.02,45.376,110.845,304.82375,6.717730739,37.088,101.992,2.24770804,46.11,126.8025,2.794483868,2.794483868,0,0,9,3,0,4,0,0,7,2.9375,0
OA1,10_15_14,minor,OS_B,OA topical,24,51,OS_H,16,0.96,43.498,124.926,343.5465,7.897983815,58.99,162.2225,3.729424341,58.813,161.73575,3.718234172,3.718234172,0,0,14,2,0,0,0,0,2,2.125,2
OA2,10_15_14,minor,OS_B,OA topical,24,52,OS_H,17.5,1.05,46.315,123.461,339.51775,7.330621829,64.264,176.726,3.815740041,59.146,162.6515,3.511853611,3.511853611,0,0,22,10,1,2,0,0,13,2.444444444,22
OA3,10_15_14,minor,OS_B,OA topical,15,55,OS_H,17.5,1.05,46.315,153.175,421.23125,9.094920652,73.229,201.37975,4.348045989,68.611,188.68025,4.073847566,4.073847566,0,0,15,18,5,3,0,0,26,2.586956522,27
OA4,10_15_14,minor,OS_B,OA topical,17,57,OS_H,17,1.02,45.376,123.721,340.23275,7.498077177,66.161,181.94275,4.009669208,301.107,828.04425,18.24850692,,0,0,10,13,4,4,0,0,21,2.714285714,0
CNT5,10_21_14,minor,OS_B,control,15,55,OS_H,16,0.96,43.498,166.8746759,458.9053587,10.55003354,94.5337876,259.9679159,5.976548713,303.4227441,834.4125463,19.18277958,,0,0,17,9,2,0,0,0,11,2.3,17
OA5,10_21_14,minor,OS_B,OA topical,22,48,OS_H,16.5,0.99,44.437,157.3525157,432.7194182,9.737817994,99.1371739,272.6272282,6.135140271,61.00057759,167.7515884,3.775043058,3.775043058,2,0,9,4,0,3,0,2,7,2.611111111,8
OA6,10_21_14,minor,OS_B,OA topical,15,55,OS_H,16.5,0.99,44.437,174.9652732,481.1545013,10.82778993,103.0985449,283.5209985,6.380291165,125.7885315,345.9184616,7.784469285,7.784469285,0,0,1,11,0,2,0,0,13,3.214285714,0
CNT6,10_21_14,minor,OS_B,control,28,49,OS_H,16.5,0.99,44.437,164.5427183,452.4924753,10.18278631,97.02671935,266.8234782,6.004534019,51.1857925,140.7609294,3.167651493,3.167651493,6,0,11,2,0,1,0,6,3,1.95,37
CNT7,10_21_14,minor,OS_B,control,15,52,OS_H,17,1.02,45.376,197.4686641,543.0388263,11.96753408,105.7007559,290.6770787,6.40596524,75.89346593,208.7070313,4.599502629,4.599502629,0,1,5,10,0,2,0,1,12,2.833333333,
OA7,10_21_14,minor,OS_B,OA topical,22,46,OS_H,17,1.02,45.376,124.5172572,342.4224573,7.546334126,73.4292421,201.9304158,4.450159022,138.8749116,381.9060069,8.416475822,8.416475822,0,0,7,5,2,6,0,0,13,3.045454545,6
OA8,10_21_14,minor,OS_B,OA topical,15,45,OS_H,17.5,1.05,46.315,183.0429153,503.3680171,10.86835835,98.52930835,270.955598,5.850277404,384.8539112,1058.348256,22.85109049,,0,1,16,24,0,6,0,1,30,2.872340426,7
CNT8,10_21_14,minor,OS_B,control,16,55,OS_H,17,1.02,45.376,177.4397394,487.9592834,10.7536866,104.3894055,287.0708651,6.32649121,97.6882529,268.6426955,5.920369699,5.920369699,0,0,32,6,0,16,0,0,22,3,54
OA9,10_21_14,minor,OS_B,OA topical,21,45,OS_H,16.5,0.99,44.437,147.7655789,406.355342,9.144526903,86.3105278,237.3539515,5.341358585,221.5248236,609.1932649,13.70914474,13.70914474,0,1,4,4,0,0,0,1,4,2.333333333,3
OA10,10_21_14,minor,OS_B,OA topical,23,47,OS_H,16,0.96,43.498,155.5970698,427.891942,9.837048645,91.4876299,251.5909822,5.78396667,98.75141324,271.5663864,6.243192478,6.243192478,0,0,14,4,4,3,0,0,11,2.448275862,38
CNT9,10_21_14,minor,OS_B,control,15,60,OS_H,16.5,0.99,44.437,167.3410674,460.1879354,10.35596317,106.7047585,293.4380859,6.603463012,67.64749061,186.0305992,4.186389702,4.186389702,0,0,7,12,1,35,0,0,48,4.089285714,1
CNT10,10_21_14,minor,OS_B,control,15,38,OS_H,15.5,0.93,42.559,222.9258679,613.0461367,14.40461798,93.4000159,256.8500437,6.035152229,66.80474156,183.7130393,4.316667198,4.316667198,0,1,13,4,0,1,0,1,5,2.315789474,0
CNT11,10_22_14,minor,OS_H,control,15,54,OS_B,17.5,1.05,46.315,195.496714,537.6159635,11.60781525,99.63176805,273.9873621,5.915737064,113.0618837,310.9201802,6.713163774,6.713163774,0,1,12,4,0,0,0,1,4,2.176470588,3
OA11,10_22_14,minor,OS_H,OA topical,20,44,OS_B,17,1.02,45.376,196.479046,540.3173765,11.90755854,104.4840147,287.3310404,6.332224974,164.4336835,452.1926296,9.965458164,9.965458164,5,0,21,9,1,3,0,5,13,2.325,7
OA12,10_22_14,minor,OS_H,OA topical,15,60,OS_B,17.5,1.05,46.315,182.6216159,502.2094437,10.84334327,99.7518382,274.3175551,5.922866351,142.7100145,392.4525399,8.473551547,8.473551547,4,0,14,5,2,2,0,4,9,2.24137931,0
CNT12,10_22_14,minor,OS_H,control,24,54,OS_B,17,1.02,45.376,162.6671786,447.3347412,9.85839962,85.4988051,235.121714,5.181631568,180.9353567,497.5722309,10.96553753,10.96553753,0,0,14,5,0,2,0,0,7,2.523809524,21
CNT13,10_22_14,minor,OS_H,control,15,45,OS_B,16.5,0.99,44.437,183.9051964,505.7392901,11.38104035,104.0461118,286.1268075,6.438931689,77.44753944,212.9807335,4.792869309,4.792869309,7,1,22,4,0,0,0,8,4,1.882352941,2
OA14,10_22_14,minor,OS_H,OA topical,15,57,OS_B,17,1.02,45.376,168.4039974,463.1109929,10.20607795,97.72477155,268.7431218,5.922582902,183.9662762,505.9072596,11.14922557,11.14922557,3,0,13,19,5,5,0,3,29,2.62,2
OA15,10_22_14,minor,OS_H,OA topical,24,48,OS_B,16.5,0.99,44.437,179.0917696,492.5023664,11.08315967,97.4069388,267.8690817,6.028064039,217.1567164,597.1809701,13.43882283,13.43882283,2,0,19,22,1,3,0,2,26,2.604166667,12
CNT14,10_22_14,minor,OS_H,control,15,52,OS_B,16.5,0.99,44.437,170.4276014,468.6759039,10.54697446,92.575881,254.5836728,5.72909226,121.593361,334.3817428,7.524849624,7.524849624,6,0,32,11,0,0,0,6,11,2.102040816,4
CNT15,10_22_14,minor,OS_H,control,28,60,OS_B,16.5,0.99,44.437,179.4650558,493.5289035,11.10626063,86.5441217,237.9963347,5.355814629,68.26331268,187.7241099,4.224500076,4.224500076,1,1,13,3,0,0,0,2,3,2.055555556,2
OA16,10_22_14,minor,OS_H,OA topical,16,44,OS_B,17,1.02,45.376,174.8088021,480.7242058,10.59423937,94.41931095,259.6531051,5.722256372,161.4235522,443.9147686,9.783029984,9.783029984,0,0,7,5,0,12,0,0,17,3.708333333,0
OA17,10_27_14,minor,OS_H,OA topical,16,54,OS_B,16,0.96,43.498,187.18538,514.759795,11.8341026,95.2005444,261.8014971,6.018701943,406.5278139,1117.951488,25.70121588,,5,0,15,16,0,3,0,5,19,2.512820513,14
CNT16,10_27_14,minor,OS_H,control,23,48,OS_B,18,1.08,47.254,187.43818,515.454995,10.90817698,99.24626876,272.9272391,5.775748912,118.5162636,325.9197249,6.897188067,6.897188067,4,0,11,11,0,0,0,4,11,2.269230769,2
CNT17,10_27_14,minor,OS_H,control,15,58,OS_B,16,0.96,43.498,196.5769,540.586475,12.42784668,105.5685261,290.3134468,6.674179199,267.6387353,736.0065221,16.92046812,,0,0,5,13,1,4,0,0,18,3.041666667,
OA18,10_27_14,minor,OS_H,OA topical,23,52,OS_B,16,0.96,43.498,168.08634,462.237435,10.62663651,96.54695106,265.5041154,6.103823519,301.0999676,828.0249109,19.03593064,,0,0,15,28,8,3,0,0,39,2.596774194,20
OA19,10_27_14,minor,OS_H,OA topical,15,60,OS_B,17.5,1.05,46.315,182.43906,501.707415,10.83250383,104.1375625,286.3782969,6.18327317,118.6698925,326.3422044,7.046144972,7.046144972,4,1,9,2,0,2,0,5,4,2.166666667,6
CNT18,10_27_14,minor,OS_H,control,23,52,OS_B,16.5,0.99,44.437,175.31642,482.120155,10.84952078,104.5083122,287.3978586,6.46753513,122.2759047,336.2587379,7.567089091,7.567089091,18,0,14,9,0,0,0,18,9,1.780487805,25
CNT19,10_27_14,minor,OS_H,control,18,56,OS_B,16,0.96,43.498,,,,,,,,,,,1,0,19,3,0,0,0,1,3,2.086956522,17
OA20,10_27_14,minor,OS_H,OA topical,22,52,OS_B,16,0.96,43.498,218.07754,599.713235,13.78714504,87.38227964,240.301269,5.5244211,101.8048511,279.9633405,6.436234782,6.436234782,3,0,7,17,3,2,0,3,22,2.571428571,1
OA21,10_27_14,minor,OS_H,OA topical,15,59,OS_B,15.5,0.93,42.559,198.1569,544.931475,12.8041419,118.7073737,326.4452777,7.670417013,163.064383,448.4270533,10.53659751,10.53659751,2,0,35,14,0,2,0,2,16,2.339622642,4
CNT20,10_27_14,minor,OS_H,control,23,50,OS_B,17.5,1.05,46.315,184.7269,507.998975,10.96834665,91.03123682,250.3359013,5.405071818,71.31377795,196.1128894,4.234327742,4.234327742,4,1,24,1,0,1,0,5,2,1.967741935,53